,questions,short_answers,responses,logits_of_answers
17036,Answer the question concisely with only the answer: how many episodes in the tv show the sinner? Answer:,eight,"32. 
The S",0.8031823039054871
17037,Answer the question concisely with only the answer: who was in the video don't worry be happy? Answer:,"McFerrin, Robin Williams, Bill Irwin",Bobby McFerrin.,0.93378084897995
17038,Answer the question concisely with only the answer: where did the name seven pounds come from? Answer:,"The title refers to Shakespeare's The Merchant of Venice, In which a debtor must pay a pound of flesh","The name ""Seven Pounds",0.9396276473999023
17039,Answer the question concisely with only the answer: how old do you have to be to become a foreign exchange student? Answer:,15,15 years old. How,0.5431458950042725
17040,Answer the question concisely with only the answer: neurons move material away from the soma by? Answer:,"Kine sin, Dylan",axon. Answer the question,0.7233580350875854
17041,Answer the question concisely with only the answer: the process in which the value of ∆u=0 is? Answer:,Isothermal process,Isothermal process. The final,0.5335280895233154
17042,Answer the question concisely with only the answer: who's picture is on the hundred dollar bill? Answer:,Benjamin Franklin,"Benjamin Franklin.
Answer the question",0.7182096242904663
17043,Answer the question concisely with only the answer: who was in charge of britain in ww1? Answer:,David Lloyd George,"King George V. 
The",0.6811503171920776
17044,Answer the question concisely with only the answer: who showed up as winter ended and helped train the continental army? Answer:,Baron Friedrich von Steuben,Baron von Steuben.,0.8865019679069519
17045,Answer the question concisely with only the answer: who paid for the building of the original globe theatre? Answer:,The Lord Chamberlain's Men,Richard Burbage and his fellow,0.7400981783866882
17046,Answer the question concisely with only the answer: who was the first person killed in the american revolution? Answer:,Crispus Attucks,Crispus Attucks.,0.9846974611282349
17047,Answer the question concisely with only the answer: who sings when i look into your eyes? Answer:,Firehouse,Firehouse. who sings when,0.8317276239395142
17048,Answer the question concisely with only the answer: which describes what free soilers wanted for western lands? Answer:,To oppose the expansion of slavery into the Western territories,"Unlimited, unregulated, and",0.5434747338294983
17049,Answer the question concisely with only the answer: where did the name elephant and castle come from? Answer:,A local coaching inn,The area was named after a,0.6686817407608032
17050,Answer the question concisely with only the answer: when does season 2 of cobra kai air? Answer:,2019,"May 9, 202",0.7388047575950623
17051,Answer the question concisely with only the answer: who sings i want to bop with you baby? Answer:,Dan Seals,The Rubinoos.,0.6684057116508484
17052,Answer the question concisely with only the answer: where is the raiders stadium in las vegas going to be? Answer:,"62 acres west of Mandalay Bay at Russell Road and Hacienda Avenue and between Polaris Avenue and Dean Martin Drive, Just west of Interstate 15","Allegiant Stadium.

## Step",0.8280259370803833
17053,Answer the question concisely with only the answer: who sings the theme song for family ties? Answer:,Jeff Barry and Tom Scott,Michael J. Fox.,0.9800213575363159
17054,Answer the question concisely with only the answer: the name of the separatist political party in quebec? Answer:,Parti Québécois,Parti Québécois.,0.9729894995689392
17055,Answer the question concisely with only the answer: who won the women's elimination chamber 2017? Answer:,Naomi,"Sasha Banks. 

Here is",0.36600637435913086
17056,Answer the question concisely with only the answer: when did the ambulance service start in the uk? Answer:,1946,1897. is this,0.6036454439163208
17057,Answer the question concisely with only the answer: where is the temperature regulation center in humans located? Answer:,The anterior hypothalami nucleus and the adjacent peptic area regions of the hypothalamus,"The hypothalamus.

##",0.8095187544822693
17058,Answer the question concisely with only the answer: who sing don't you forget about me? Answer:,Simple Minds,"Simple Minds. 
Simple Minds",0.8595594763755798
17059,Answer the question concisely with only the answer: how many states in india have legislative assembly and legislative council? Answer:,Seven () (out of twenty-nine),"6
Answer the question",0.9413520693778992
17060,Answer the question concisely with only the answer: who is the douglas fir tree named after? Answer:,"David Douglas, A Scottish botanist and collector who first reported the extraordinary nature and potential of the species","David Douglas.
Answer the question",0.7860468626022339
17061,Answer the question concisely with only the answer: who is the actress who plays sansa stark? Answer:,Sophie Turner,"Sophie Turner.
Answer the question",0.8159226179122925
17062,Answer the question concisely with only the answer: where was the movie free state of jones filmed? Answer:,"In and around New Orleans, East Feliciano Parish, Chico State Park around Villa Platte, Louisiana","Mississippi, USA. 
Note",0.7675684690475464
17063,Answer the question concisely with only the answer: what potential influence does the fto gene have? Answer:,Obesity in humans,It has potential influence on weight,0.4954548478126526
17064,Answer the question concisely with only the answer: most single season rushing yards in ncaa history? Answer:,12.,"3,226 yards by",0.6456581354141235
17065,Answer the question concisely with only the answer: who did the warriors play in the 2015 nba finals? Answer:,Cleveland Cavaliers,"The Cleveland Cavaliers.
Answer the",0.7014328837394714
17066,Answer the question concisely with only the answer: what is the net worth of the gupta family? Answer:,R10. a billion (US $773.47 million),"$5 billion.
The Gupta",0.47183936834335327
17067,Answer the question concisely with only the answer: who presides over the meeting of municipal corporation? Answer:,Sivan Chatterjee,"Mayor.
Answer the question conc",0.6998289823532104
17068,Answer the question concisely with only the answer: who stars in the movie the glass castle? Answer:,"Brie Larson, Naomi Watts, Woody Harrelson, Max Greenfield, Sarah Shook",Woody Harrelson and B,0.7848221659660339
17069,Answer the question concisely with only the answer: when did earth's population reached 6 billion? Answer:,1999,"1999. 
When",0.5652884840965271
17070,Answer the question concisely with only the answer: when was germany formed into a single country? Answer:,18 January 1871,"1871.
Answer the",0.8680709600448608
17071,Answer the question concisely with only the answer: where was ed sheeran's galway girl filmed? Answer:,"Galway, Ireland","Salthill, Galway",0.834715723991394
17072,Answer the question concisely with only the answer: when do they find out about alex drake? Answer:,In `` Till Death Do Us Part '',After the final test. when,0.3845265805721283
17073,Answer the question concisely with only the answer: prison break how many episodes in season 1? Answer:,22 episodes,22. This answer will,0.5692113637924194
17074,Answer the question concisely with only the answer: where does the movie soul surfer take place? Answer:,"Kauai, Hawaii","Hawaii. 
What is the",0.7643388509750366
