Unnamed: 0,questions,short_answers,responses,matches
18290,Answer the question concisely with only the answer: the illegal practice of bribing radio disc jockeys was known as? Answer:,Payola,"payola.
Answer the question",1
18291,Answer the question concisely with only the answer: how many episodes of naruto shippuden are dubbed 2017? Answer:,98,220 episodes. Answer the,0
18292,Answer the question concisely with only the answer: who won the national championship in college football in 2016? Answer:,Alabama Crimson Tide,"Clemson.
Clemson won",0
18293,Answer the question concisely with only the answer: name the last mughal emperor to sit on the peacock throne? Answer:,Muhammad Shah,Bahadur Shah II.,1
18294,Answer the question concisely with only the answer: the girl that played cindy lou who in the grinch? Answer:,Taylor Michel Mom sen,"Taylor Momsen. 
Answer",1
18295,Answer the question concisely with only the answer: number of states in the south during civil war? Answer:,eleven,"11
Answer the question",0
18296,Answer the question concisely with only the answer: rhyme at the end of every other line? Answer:,Traditional rhyme,No. 8. What,0
18297,Answer the question concisely with only the answer: when does rebel in the rye come out? Answer:,"September, 2017",The Rebel in the Rye,0
18298,Answer the question concisely with only the answer: when did zone defense start in the nba? Answer:,2001 -- 2002 season,1966. 1,0
18299,Answer the question concisely with only the answer: what is the purpose of a dielectric material used in a capacitor? Answer:,insulator,"To store electrical energy.
What",0
18300,Answer the question concisely with only the answer: what is the name of the force that keeps things afloat? Answer:,buoyancy,"buoyancy.
Answer the question",1
18301,Answer the question concisely with only the answer: when was the first super mario game made? Answer:,1985,"1981. 
Answer",0
18302,Answer the question concisely with only the answer: who wrote the song do you know where you're going to? Answer:,"Michael Master, Gerald Coffin","Diana Ross.
Answer the question",0
18303,Answer the question concisely with only the answer: who plays son of hook in desendents 2? Answer:,Thomas Doherty,"Cameron Boyce. 
Answer",0
18304,Answer the question concisely with only the answer: who has won the indy 500 4 times? Answer:,"A.J. Foot, Al Under, Rick Mears",A.J. Foyt,1
18305,Answer the question concisely with only the answer: the end of the 18th century in europe is characterized by the? Answer:,The Industrial Revolution,the end of the 18,1
18306,Answer the question concisely with only the answer: who was the president when apollo 11 landed? Answer:,Richard Nixon,"Richard Nixon. 
Answer the",1
18307,Answer the question concisely with only the answer: what is the overall record between the bears and packers? Answer:,GB : leads 97 -- 94 --,The Bears and Packers are tied,0
18308,Answer the question concisely with only the answer: where is the diaphragm located in the body? Answer:,Across the bottom of the thoracic cavity,Between the chest and abdominal cav,1
18309,Answer the question concisely with only the answer: who sings i don't want to do your dirty work? Answer:,Steely Dan,The Alan Parsons Project.,0
18310,Answer the question concisely with only the answer: when did earth wind and fire come out? Answer:,1970,"1971. 
The",0
18311,Answer the question concisely with only the answer: when were the first general elections held in india? Answer:,1951 -- 52,1951-52.,1
18312,Answer the question concisely with only the answer: who sang let's put it all together? Answer:,American R&B group The Stylistics,"The Pointer Sisters. 
Who",1
18313,Answer the question concisely with only the answer: what happened to the third brother on blue bloods? Answer:,"Murdered on the orders of his partner Sonny Males (Michael T. Weiss), The leader of a corrupt gang of police officers called the Blue Templar",He was killed by a bullet,1
18314,Answer the question concisely with only the answer: where is the kelp forest located in california? Answer:,"North of San Francisco, California",Off the coast of Big Sur,1
18315,Answer the question concisely with only the answer: who wrote lyrics to you are my sunshine? Answer:,Jimmie Davis and Charles Mitchell,Paul Rice and George Gersh,1
18316,Answer the question concisely with only the answer: when was the first navy seal team formed? Answer:,January 1962,1962. Thank you,1
18317,Answer the question concisely with only the answer: the number of movements in a symphony usually is? Answer:,At most four movements,"4.
Answer the question",0
18318,Answer the question concisely with only the answer: what type of grass is wimbledon played on? Answer:,100 % perennial rye grass,Perennial ryegrass.,1
18319,Answer the question concisely with only the answer: what is the a team ed sheeran about? Answer:,"A prostitute addicted to crack cocaine, A Class A drug",Ed Sheeran's album,1
18320,Answer the question concisely with only the answer: where is the gone with the wind mansion? Answer:,Georgia,"Tara, the fictional plantation house",0
18321,Answer the question concisely with only the answer: expansion of a perfect gas into vacuum is related with? Answer:,entropy,adiabatic process,0
18322,Answer the question concisely with only the answer: who is the actress that plays the dragon queen on game of thrones? Answer:,Emilia Isabelle Euphemism Rose Clarke,"Emilia Clarke. 
What",1
18323,Answer the question concisely with only the answer: when did britain become the most powerful empire? Answer:,1913,"1815.
Answer the",0
18324,Answer the question concisely with only the answer: who is the backing singer on gimme shelter? Answer:,Merry Clayton,"Merry Clayton. 
What does",1
18325,Answer the question concisely with only the answer: who did lady gaga play in american horror story? Answer:,Elizabeth Johnson / The Countess,"Sarah Paulson. 
Answer",0
18326,Answer the question concisely with only the answer: who played the captain in the sound of music? Answer:,Arthur Christopher Orem Plummer,"Christopher Plummer. 
The",1
18327,Answer the question concisely with only the answer: what is the general purpose of kinship studies? Answer:,The study of the patterns of social relationships in one or more human cultures,To understand the role of kin,1
18328,Answer the question concisely with only the answer: who won the war between troy and sparta? Answer:,The Achaeans (Greeks),"Neither, Troy was actually fought",1
18329,Answer the question concisely with only the answer: where is the quarter panel located on a car? Answer:,Between a rear door (or only door on each side for two - door models) and the trunk (boot) and typically wraps around the wheel well,On the side of the car,1
18330,Answer the question concisely with only the answer: who plays the school's lawyer in 13 reasons why? Answer:,Allison Miller,"Richard Thomas. 
Previous question",0
18331,Answer the question concisely with only the answer: where did kevin durant play before golden state? Answer:,Oklahoma City,"Oklahoma City. 
Where did",1
18332,Answer the question concisely with only the answer: when does the sears christmas catalogue come out? Answer:,Annually in August or September,Late August to Early September.,1
18333,Answer the question concisely with only the answer: who plays desmond doss father in hacksaw ridge? Answer:,Hugo Weaving,"Sam Worthington.
Answer",0
