short_answers,responses,matches
Between the anus and the vulva,The perineum is located,0
"The Australian Labor Party, The Liberal / National Coalition",The two main political parties in,0
Provides oxygen and nourishment to the outer layers of the retina,The choroid layer supplies the,0
"Tuesday, December 18, 1956",1980. Answer the,0
"Shia, Sunni",The Shia and Sunni Muslims.,0
"A passionate young girl in love with God, Who becomes the only male figure in her life",The song is about a person,0
Malt liquor,"malt beverage. 
What is",0
Federal Bureau of Investigation (FBI),The United States Department of State,0
"April, 2024",The solar eclipse will occur on,0
Augustus,"Augustus. 
Answer the",1
"At Microsoft Theater in Los Angeles, California",The 2023 BET Awards,0
Officer Francis (`` Frank '') Llewellyn `` Pinch '' Poncherello,"Fonzie. 
What was",0
Apollo 17,"1972. 
Answer",0
19th century,"1353.
The Black",0
28-Sep-17,"It has been released, the",0
Responsible for enforcing the Laws of the Game,"To enforce the rules, maintain",0
"Estimated sales of over 45 million,","50 million copies.
Answer",0
1982,"1982. 
The",1
Sis era,"Jael. 
Answer the",0
Second law of thermodynamics,The second law of thermodynamics,1
Thomas Shelton's 1620 translation of the Spanish novel Don Quixote,"England, from a 16",0
Four years after the 1868 Meiji Restoration,"1879.
When did",0
CLT,CLT. Answer the question,1
Friday,Friday. What do you think,1
Teresa,"Gally, Brenda, Jorge",0
Chris Elliott,"Brad Garrett. 
Who played",0
29-Mar-74,"1974.
Answer the",0
Deeds of trust,California is a deed of trust,0
A largely continental climate,"Boreal Forest. 
The",0
Mitchell's Fish Market,Ruth Fertel. Ruth,0
"Opens exhaust valves in the cylinders after the compression cycle, Releasing the compressed air trapped in the cylinders, And slowing the vehicle",A Jake brake uses compressed air,0
Bestie,"A Basenji.
Answer",0
British R&B group MN,"50 cent
Answer the",0
Kirsten,"Bailey Salinger. 
The",0
Justice War grave,Mr. U.N. Owen,0
Elton John,Elton John. Answer the,1
Bobby McFerrin,Bobby McFerrin.,1
Exhaust gas recirculation,Exhaust Gas Recirculation.,1
eighth,"Season 12.
What is",0
Over 60,"46.
How Many Books",0
Parliamentary democracy,"Parliamentary democracy.
Answer the question",1
"Frédéric Pass, Henry Dunant",Frédéric Passy and,0
Tokyo,"Paris, France. 
The",0
Persons with disabilities,People with severe mobility impairments,0
KVLY-TV mast,The Ostankino Tower in,0
"Libra, Latin for `` scales / balance ''",It is an abbreviation of lib,0
"The portion of meat around the tibia of the animal, The leg bone beneath the knee","the thigh. 

## Step",0
Ian McDermid,"Alec Guinness. 
What is",0
Public sector employees,"Blue-collar workers
Answer the",0
15-Sep-17,"August 23, 201",0
Vitamin A,"Retinoic acid.
Answer",0
"Locally opens the double-stranded DNA (usually about four turns of the double helix) so that one strand of the exposed nucleotides can be used as a template for the synthesis of RNA, A process called transcription",RNA polymerase is responsible for,0
"Laurel, Mississippi","Nashville, Tennessee. Answer the",0
White stripes,Black stripes. Explanation: Ze,0
1988,"1985. 
Answer",0
"For unemployment benefits, Veterans affairs benefits, As well as for several other services",A certified copy of a DD,0
"Andy Murray, Henry Cooper, Nigel Man sell, Damon Hill, Steve Davis","Sir Mo Farah,",0
"Originates in the brain stem, Passes through the foramen magnum, And continues through to the bonus medullas near the second lumbar vertebra before terminating in a fibrous extension known as the film terminal",The spinal cord begins at the,0
Robert Mathis,"Lawrence Taylor. 
Who forced",0
Tudor rose,The red rose. This question,0
23-Sep,March 20 or 21,0
thirteen,13. 0,0
21,"21. 
The post",1
palpation,When the patient is relaxed and,0
One Times Square,151 W 42nd,0
Chamber of Princes in the Parliament building where the previous Federal Court of India sat,"Calcutta. 
Answer",0
2002,"2017. 
Beauty",0
Patient Protection and Affordable Care Act,The Affordable Care Act (ACA,0
Bob McGill,"The song ""Amanda Light",0
"Simon Cowell, Heidi Klum, Mel B, Howie Manuel",The judges and the audience vote,0
Puerto Rico,"Brazil. 
Welcome to the",0
The 1890s,"1950. 
Answer",0
Comedy rock duo Barnes & Barnes,The Fish Heads song is a,0
"Down the ventral (`` belly '', As opposed to back) plane of the organism",Inside the insect's body.,0
"Middle English, Anglo-Norman French, Old French",The last name Norris originates from,0
Creek Indian Confederation,"The Cherokee, Creek, and",0
"It was signed into law by President Lyndon B. Johnson during the height of the Civil Rights Movement on August, 1965","August 6, 196",0
Mrs Diana Tapes,"Peachum. 
Answer the",0
Ron Hale,Leslie Grantham.,0
"France, Britain, Austria, Russia, Ottoman Empire, Portugal, Naples, Various German monarchies, Sweden","Paul Barras.
Paul Barr",0
During the 16th and 17th centuries,"1683.
When Did",0
Louis Pasteur,Louis Pasteur. Louis Paste,1
Three of his relatives : two cousins and his younger brother,"Frank kills Mrs. Taylor,",0
Khan Dog,Khal Drogo. Next question,0
dustcart,"A dustcart.
The British",1
"Cities like Turin, Milan and Bologna","The Italian Alps, Dolom",0
"July 1980, Audio Yokohama","1973, Adam Osborne",0
Jenny Baird,Regina King. She plays the,0
James Bay Lowlands,The Ring of Fire is located,0
"Ferdinand II of Aragon, Isabella I of Castile","Augustus Caesar. 
The",0
The increasing importance of the aircraft carrier,The US Navy stopped using battles,0
Wilson,"Wilson.
The movie Cast Away",1
Carl Douglas,"Jack Black. 
Answer the",0
Denise Cloud,Tara Chambler was dating,0
skateboarding,Supreme Brand. (Note:,0
The Honorable Mr. Woodrow Huckleberry Tiberius `` Woody '' Boyd,Woody Boyd. what character did,0
Reconciliation of the father - son relationship,The theme of the book Big,0
Passive immunization,Active immunity. Step 1,0
2002,"Canada has had a universal,",0
Cary Grant,"Cary Grant, Priscilla",1
24-Oct-06,"2006. 
The",0
$865 ,"$54,000. What",0
The Green Bay Packers,"The 49ers.
Answer",0
Clairol hair coloring,"1957.
What is",0
Patrick Barberton,"Sam Rockwell. 
Answer",0
Stephen F. Austin,"Stephen F. Austin.
Answer",1
"Willem Dafoe, Jason Lies",Hiroyuki Sanada.,0
The Crystal Maze,"Cathedral. 
Answer the question",0
four,"4. 

## Step",0
Moscow,"Moscow.
Answer the question conc",1
"Scarecrow, Who wants a brain, And invites him to join her on her journey. Eventually they come to an apple orchard where they find and befriend a Tin Man, Who desires a heart. After they invite him to come along, The Witch appears and makes threats to them. Deep in the woods, They meet a Cowardly Lion, Who is in need of courage and invite him to come along as well.",The Scarecrow wanted,0
Philip Bliss,George Frideric Handel,0
Germany's Miroslaw Close,Miroslav Klose,0
Meghan Trainer,"Meghan Trainor. 
Who",0
Katharine Meyer `` Kay '' Graham,"Katharine Graham. 
Who",0
Alan Shepard,"Alan Shepard.
Alan Shepard was",1
Bay of Bengal,To the east coast of India,0
New England,17th century Germany.,0
"Oakland, California","Oakland, California, and San",1
1956,"1956. 
Answer",1
Fort Sumter,"Fort Sumter, South Carolina",1
Joseph McCarthy,J. Edgar Hoover.,0
Lexington,"Lexington and Concord.
Answer the",1
twelve,"12.

## Step",0
13-Nov-08,"November 13, 200",1
1998,"1965. 
when",0
"Soon after midnight on August, 1945","August 8, 194",0
`` 21 Guns '',"Season 7, Episode",0
1998,"November 20, 199",0
Fifth season,"Season 1, Episode",0
1789,1789. The Department,1
"34,450","Over 36,000.",0
24,6 minutes 59.,0
George Washington,"George Washington. 
Answer the",1
"The Latin name Martins, Which is a late derived form of the name of the Roman god Mars, The protective godhead of the Latins, And therefore the god of war",The last name Martin is of,0
1982,"1982. 
What",1
nine,9. How many justices,0
"Toronto, Ontario, Canada","Toronto, Canada. 
Where",0
Harland Williams,"Harland Williams. 
The",1
Citizens residing in the District of Columbia,Washington D.C. residents.,0
This Woman's Work '',"""Take My Breath Away""",0
She Silverstein,"Billy Edd Wheeler
The",0
Winner of the National League (NL),The winner of the ALCS,0
James Friend,Ryan Gosling. who plays,0
Joshua Rad nor,"Josh Radnor. 
Who",0
Australia,"Africa. 
Where did British",0
Renaissance Italian artists,They got their names from the,0
Central America,Central America and the Caribbean.,1
"dermatophytes, Candida albicans",a carbohydrate. (answer should,0
Donald Feign,"Louis Armstrong.
Who sings what",0
"Peter Anthony Allen, At Walton Prison in Liverpool, And Wynne Owen Evans, At Strange ways Prison in Manchester",Peter Anthony Allen and Gwyn,0
Wylie Draper,"Jeremy Ray Taylor
Answer the",0
Deb Lee,"Haley. 
Answer the question",0
1959,The Flash: Rebirth (,0
Death,Zatanna. who killed,0
Harold Staten,"Hillary Clinton. 
Answer the",0
Independence Hall,Independence Hall. Answer the question,1
Semi Orellana,"Stephen Graham
Answer the question",0
Albert Bandura,"Albert Bandura.
Albert Band",1
Whitworth,"JR Bourne. 
Answer",0
"In Sudan and Line counties within the prefecture - level city of Change, In Gansu","Gansu province, China",0
Eric James McCormack,Eric McCormack. Answer the,0
The end opposite to the point,"In the heart.

Explanation:",0
2009,"2009.
Answer the",1
General Glen McMahon,"Donald Trump. 
Who is",0
Taylor Schilling,"Taylor Schilling. 
Answer",1
Pork barbecue and bacon,"Barbecue
Answer the question",0
Emily Bach,Shailene Woodley.,0
"Tina Turner, Laurence Fishburne","Tina Turner. 
Answer the",0
Incumbent Democratic Mayor Frank G. Jackson,The winner of the election for,0
A step constant stress,PNF (Proprioceptive,0
"Over 147,000","Approximately 130,000.",0
The Cascades,"The Fifth Dimension.
The song",0
Apostle Paul,Paul. 1. Paul,0
Jeremy Bullock,"Jeremy Bulloch.
Jeremy",0
E,E. Answer the question conc,1
Grubhub Center,"SoFi Stadium.

Answer the",0
Johan Fran zen,"6. 

The final",0
", 300 miles (,100 km) of coastline, And 11,000 square miles (28,000 km) of ocean","1,300 miles.",0
"The town of Newburgh, Located in Orange County, New York","Bethpage, New York.",0
Eden Her,Tessa Thompson. Note:,0
"Internee Simon's, Mature Maker",There have been 32 players,0
1981,"1981
Answer the",1
"Omaha, Nebraska / Council Bluffs, Iowa, Oakland Long Wharf on San Francisco Bay","Omaha, Nebraska, and Sacramento",0
"December 15, 1791","1791. 
Answer",0
1930,"1901. 
The",0
President John Hancock,"John Hancock.
Answer the question",0
"Mount Godwin - Austen, Chhogori","Chhogori.
What is",0
1959,"1959. 
The",1
"15 years, months",16 years old.,0
Minnesota,minnesota. is this correct,1
"The Old English god (gun, Gudis in Gothic, Guð in Old Norse, God in Frisian and Dutch, And Got in modern German), Which is derived from Photo - Germanic human","The English word ""God""",0
"Bay Lake, Florida","Orlando, Florida. In the",0
1192,"1192.
What is",1
Rick Astley,"Rick Astley. 
Answer",1
Eeyore,Eeyore's friend's,1
Defines and constrains the data type of the value returned from a subroutine or method,The return statement in Java is,0
"Hen party, Hen do or hen night","A hen party.
What Do",0
Convection currents due to heat escaping from the core,geodynamo effect. Answer,0
14-Dec-18,"Unfortunately, I do not have",0
Coulomb electrostatic force,Charge is identified by the interaction,0
"Department of Financial Services, Ministry of Finance",The Pradhan Mantri,0
"The island of But, Located in the Firth of Clyde","Scotland. 
The last name",0
26-Nov-15,"December 16, 201",0
The Norwegian,The zebra drinks the water,0
56. ° C (134. ° F),134°F (56.,0
Zachary Michael `` Zach '' Milford,"Zach Gilford. 
Who",0
The Shard,"The Shard.
Answer the question",1
"September, 1945","August 15, 194",0
Marc Cohn,"Marc Cohn. 
Who",1
Mark L. Young,Jason Sudeikis.,0
California,Inland Empire. The In,0
March 1824 -- 24 February 1826,1942–1945,0
"Princess Helene, Natasha Rostov","Natasha Rostova.

##",0
Melvin Dewey,Melvil Dewey. who,0
W.G. Little,The University of Alabama.,0
A home page,"The Home Page.
The first",0
"The London Studios, Walt Disney World, Universal Orlando","Various locations around the UK,",0
The Renaissance,"Renaissance.
Which Art Period is",0
Audrey Hepburn,"Audrey Hepburn. 
The",1
"Maine, Vermont, New Hampshire, Massachusetts, Rhode Island, Connecticut","Connecticut, Maine, Massachusetts,",0
30-Mar-18,"November 30, 200",0
The Outfield,"Chris Brown. 
Who sings",0
Va run Drawn,Varun Dhawan.,0
"At the Microsoft Theater in Los Angeles, California",Microsoft Theater in Los Angeles.,0
"June, 2018","August 27, 201",0
Dormant,"Dormammu. 
Answer the",0
Detective Host,A.D. (Adam De,0
260 km / h (160 mph),260. Answer the question,0
From The Cyclopes,she got her bow and arrow,0
Winston Churchill,"Pericles. 
Who Said",0
"Cyrus West Field, The Atlantic Telegraph Company","Samuel Morse.
Answer the question",0
Oct-62,"1942.
Answer the",0
Edward Mote,"Edward Mote
Who wrote",1
Between 1959 and 1960,"1962. 
When",0
Shortly after birth,When you turn 16.,0
London and Paris,"England, France, and the",0
"Welsh, English, Dutch, French",Caribbean and West Africa. Answer,0
1981,1984. when was,0
Used by the Yuan Construction Company to provide remote shelter for the construction crew,The bus came from Fairbanks,0
"In Ska mania County, Washington, In the Pacific Northwest region of the United States",It is located in the state,0
Kevin Durant,Wilt Chamberlain. who,0
Alexander Hamilton,"Aaron Burr.
Answer the question",0
Intermittent explosive disorder,Intermittent Explosive,1
Richard Todd,"Richard Todd.
Who played Guy",1
France,"France. 
What is the",1
chassis,In the engine compartment.,0
"Frozen in glaciers, Ice and snow, Fresh groundwater and soil moisture, Surface water in lakes, Swamps and rivers, Fresh water derived from precipitation","Ice caps, glaciers, underground",0
Mare Winning ham,Maura Tierney.,0
"United States, Canada, Mexico","The United States, Canada,",0
Brooks Topeka,Rafael Nadal won the US,0
period,A period. Answer the question,1
An American fast food restaurant chain,Privately held company.,0
Within. AU of the Sun,"In the inner solar system,",0
"A fundamental limit to the precision with which certain pairs of physical properties of a particle, Known as complementary variables, Such as position x and momentum p, Can be known",The uncertainty principle states that the,0
Jonathan Adam Saunders Baruch,Jay Baruchel.,0
Guy Marks,The Dubliners. The Dublin,0
Big Bear Municipal Water District,The City of Big Bear Lake,0
1783,"1776.
Answer the",0
William,William the Conqueror.,1
A ship's wheel or boat's wheel,"A helm.
What is a",0
Union Army Maj. Gen. Joseph Hooker,"Joseph Hooker.
Who led",0
"The follicular phase is the phase of the estrous cycle, (or, In humans and great apes, The menstrual cycle) during which follicles in the ovary mature",from ovulation to menstruation,0
An unnamed large city,"Mount Prospect, Illinois, and",0
The stomach,In the stomach. (Short,1
A 1997 Esperanza episode,1. noynoy,0
"Newport News, Virginia",The USS West Virginia battleship,0
Marisa Coughlin,"Thorny. 
Answer the",0
Cosmic distance ladder,By observing the redshift of,0
1963,"1962.
Prayer",0
Liam,"Charlie Stubbs. 
What",0
India,"India, Sri Lanka, and",1
"1999 drama film Girl, Interrupted, Second part of the 2015 Japanese dark fantasy action horror film Attack on Titan, Main title and credit sequences in the 2008 film An American Affair","""The Day After Tomorrow""",0
"In southern Turkey, Separating the Mediterranean coastal region of southern Turkey from the central Anatolian Plateau",The Taurus Mountains are located,0
"After leaving Southampton on 10 April 1912, Titanic called at Cherbourg in France and Queenstown (now Cobb) in Ireland","Southampton.
What city did the",0
