,questions,short_answers,responses
4044,Answer the question concisely with only the answer: when does the critical period of language end? Answer:,Sometime between age and puberty,Around age 12-14
4045,Answer the question concisely with only the answer: what is the code for san diego airport? Answer:,"IATA : SAN, ICAO : SAN, FAA LID : SAN",SAN. what is the code
4046,Answer the question concisely with only the answer: what happened to ross martin on the wild wild west? Answer:,Broke his leg and then suffered a near - fatal heart attack,He died.... Read more
4047,Answer the question concisely with only the answer: who gets to go to the world series? Answer:,"The American League (AL) champion team, The National League (NL) champion team",The teams that win their respective
4048,Answer the question concisely with only the answer: the gallery at 291 fifth avenue in new york was established by? Answer:,Alfred Stieglitz,Alfred Stieglitz.
4049,Answer the question concisely with only the answer: what is the bean made of in chicago? Answer:,168 stainless steel plates welded together,Garbanzo beans.
4050,Answer the question concisely with only the answer: what does the ip in ip address stand for? Answer:,Internet Protocol,"Internet Protocol.
What does the"
4051,Answer the question concisely with only the answer: who constructed the suez canal and when was it finished? Answer:,"Suez Canal Company, November 17, 1869",The Suez Canal was constructed
4052,Answer the question concisely with only the answer: where was aguirre the wrath of god filmed? Answer:,"The Peruvian rainforest on the Amazon River during an arduous five - week period, Shooting on tributaries of the Ucayali region","Peru, Colombia, and Ecuador"
4053,Answer the question concisely with only the answer: who played duke santos in ocean's eleven? Answer:,Cesar Romero,"Bernie Mac. 
Answer the"
4054,Answer the question concisely with only the answer: who is the lead singer in simply red? Answer:,Michael James Hucknall,Mick Hucknall.
4055,Answer the question concisely with only the answer: where did jesus heal peter's mother in law? Answer:,Cavernous,"capernaum.
Where Did"
4056,Answer the question concisely with only the answer: what happens after first overtime in nhl playoffs? Answer:,- on - after first overtime,The game continues in a second
4057,Answer the question concisely with only the answer: when did purdue pharma begin manufacturing oxycontin in the united states? Answer:,1996,"1995.
Answer the"
4058,Answer the question concisely with only the answer: who is the host of comedy central the daily show? Answer:,Trevor Noah,"Trevor Noah. 
Who is"
4059,Answer the question concisely with only the answer: when is book 6 of game of thrones going to be released? Answer:,Sometime between 2015 and 2018,"Unfortunately, there is no book"
4060,Answer the question concisely with only the answer: who sings heavy is the head that wears the crown? Answer:,"Zac Brown Band, Chris Cornell",The Trews.
4061,Answer the question concisely with only the answer: who discovered the advantages of ac over dc? Answer:,Westinghouse Electric Company,Nikola Tesla. Answer the question
4062,Answer the question concisely with only the answer: why do inoculated plates need to be incubated in the inverted position? Answer:,"To lessen the risk of contamination from airborne particles settling on them, To prevent the accumulation of any water condensation that may otherwise disturb or compromise a culture",To prevent the agar from coming
4063,Answer the question concisely with only the answer: what is the furthest distance that halleys comet travels from the sun? Answer:,35 AU,about 3.1 billion
4064,Answer the question concisely with only the answer: what is the difference between senate and house of representatives? Answer:,"Senate ratifies treaties and approves presidential appointments, House initiates revenue - raising bills, The House initiates impeachment cases, Senate decides impeachment cases",The Senate has equal representation for
4065,Answer the question concisely with only the answer: where is the london school of economics located? Answer:,"Westminster, Central London, Near the boundary between Convent Garden and Osborn","London, United Kingdom. is"
4066,Answer the question concisely with only the answer: who is the founder of facebook social network? Answer:,Mark Zuckerberg,"Mark Zuckerberg.
Answer the question"
4067,Answer the question concisely with only the answer: who's hit the most home runs in major league baseball? Answer:,Barry Bonds,"Barry Bonds. 
Answer the"
4068,Answer the question concisely with only the answer: who has the key to the church of the holy sepulchre? Answer:,"Susannah family, Judah Al - Gouda family",The Greek Orthodox Patriarch of
4069,Answer the question concisely with only the answer: what state has the highest population of bears? Answer:,Alaska,"Alaska. 
The state of"
4070,Answer the question concisely with only the answer: who decides who is the next king of england? Answer:,Common law,The British monarch decides who is
4071,Answer the question concisely with only the answer: why were interest rates so high in 1990? Answer:,International Stock Market Slump,Because of high inflation. (
4072,Answer the question concisely with only the answer: how long is the all i have show? Answer:,Two hours,2 seasons. How long
4073,Answer the question concisely with only the answer: who plays the voice of johnny on hotel transylvania? Answer:,Andy Sam berg,"Adam Sandler. 
Who"
4074,Answer the question concisely with only the answer: the chhath festival is dedicated to which indian god? Answer:,Sun and his wife USA,"sun god.
Answer the question"
4075,Answer the question concisely with only the answer: how many episodes does judge judy do a year? Answer:,260,"250.
Judge Judy is"
4076,Answer the question concisely with only the answer: where does the united states get most of its uranium? Answer:,"Russia and Kazakhstan, Canada, Australia","Canada.
Answer the question conc"
4077,Answer the question concisely with only the answer: which type of organism produces food in an ecosystem? Answer:,autotrophs,"Autotrophs.
Which"
4078,Answer the question concisely with only the answer: who was serving as president of u.s. on june 14 1946? Answer:,Harry S. Truman,"Harry S. Truman.
What"
4079,Answer the question concisely with only the answer: where is the rotator cuff located on the human body? Answer:,Shoulder joint,The rotator cuff is located
4080,Answer the question concisely with only the answer: when did the new season of blindspot start? Answer:,"October 27, 2017","June 7, 201"
4081,Answer the question concisely with only the answer: what is the emerald tablet in the alchemist? Answer:,A compact and cryptic piece of the Hermetic reputed to contain the secret of the prime material and its transmutation,The Emerald Tablet is a text
